"","X","region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"40784",40784,"SOUTH ATLANTIC","$10000 - 14999","VERY HAPPY",86,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","POOR","OTHER","IND NEAR DEM","CONSERVATIVE","FEMALE",2002
"40854",40854,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",42,"AVERAGE","MARRIED","GRADUATE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2002
"41964",41964,"NEW ENGLAND","$25000 OR MORE","VERY HAPPY",36,"ABOVE AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2002
"15241",15241,"SOUTH ATLANTIC","$20000 - 24999","PRETTY HAPPY",47,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",1984
"33702",33702,"W. SOU. CENTRAL","REFUSED","VERY HAPPY",59,"ABOVE AVERAGE","DIVORCED","BACHELOR","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","SLIGHTLY LIBERAL","MALE",1998
"35716",35716,"SOUTH ATLANTIC","$10000 - 14999","PRETTY HAPPY",78,"AVERAGE","MARRIED","LT HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT","MODERATE","MALE",1998
"17487",17487,"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",19,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"UNEMPL LAID OFF","IND NEAR REP","SLGHTLY CONSERVATIVE","MALE",1986
"15220",15220,"E. SOU. CENTRAL","$10000 - 14999","NOT TOO HAPPY",24,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","IND NEAR DEM","CONSERVATIVE","MALE",1984
"19838",19838,"SOUTH ATLANTIC","$4000 TO 4999","NOT TOO HAPPY",71,"BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","RETIRED","STRONG REPUBLICAN","MODERATE","MALE",1987
"2622",2622,"MIDDLE ATLANTIC","$3000 TO 3999","NOT TOO HAPPY",68,"BELOW AVERAGE","SEPARATED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR DEMOCRAT","LIBERAL","FEMALE",1974
"53124",53124,"W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",76,"ABOVE AVERAGE","MARRIED","GRADUATE","IAP","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",2010
"3000",3000,"NEW ENGLAND","$6000 TO 6999","VERY HAPPY",58,"AVERAGE","DIVORCED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","FEMALE",1975
"17380",17380,"MIDDLE ATLANTIC","$15000 - 19999","VERY HAPPY",27,"BELOW AVERAGE","MARRIED","BACHELOR",NA,"WORKING PARTTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",1986
"33247",33247,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",35,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","OTHER PARTY","MODERATE","FEMALE",1996
"49786",49786,"E. NOR. CENTRAL","REFUSED","VERY HAPPY",30,"AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","INDEPENDENT",NA,"FEMALE",2008
"16962",16962,"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",37,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",1985
